"","date","count","package"
"1",2020-08-01,66,"palmerpenguins"
"2",2020-08-02,62,"palmerpenguins"
"3",2020-08-03,80,"palmerpenguins"
"4",2020-08-04,97,"palmerpenguins"
"5",2020-08-05,68,"palmerpenguins"
"6",2020-08-06,83,"palmerpenguins"
"7",2020-08-07,96,"palmerpenguins"
"8",2020-08-08,60,"palmerpenguins"
"9",2020-08-09,35,"palmerpenguins"
"10",2020-08-10,65,"palmerpenguins"
"11",2020-08-11,70,"palmerpenguins"
"12",2020-08-12,85,"palmerpenguins"
"13",2020-08-13,61,"palmerpenguins"
"14",2020-08-14,44,"palmerpenguins"
"15",2020-08-15,28,"palmerpenguins"
"16",2020-08-16,22,"palmerpenguins"
"17",2020-08-17,127,"palmerpenguins"
"18",2020-08-18,74,"palmerpenguins"
"19",2020-08-19,121,"palmerpenguins"
"20",2020-08-20,154,"palmerpenguins"
"21",2020-08-21,63,"palmerpenguins"
"22",2020-08-22,43,"palmerpenguins"
"23",2020-08-23,42,"palmerpenguins"
"24",2020-08-24,73,"palmerpenguins"
"25",2020-08-25,78,"palmerpenguins"
"26",2020-08-26,80,"palmerpenguins"
"27",2020-08-27,114,"palmerpenguins"
"28",2020-08-28,87,"palmerpenguins"
"29",2020-08-29,72,"palmerpenguins"
"30",2020-08-30,44,"palmerpenguins"
"31",2020-08-31,101,"palmerpenguins"
"32",2020-09-01,135,"palmerpenguins"
"33",2020-09-02,164,"palmerpenguins"
"34",2020-09-03,296,"palmerpenguins"
"35",2020-09-04,146,"palmerpenguins"
"36",2020-09-05,70,"palmerpenguins"
"37",2020-09-06,68,"palmerpenguins"
"38",2020-09-07,81,"palmerpenguins"
"39",2020-09-08,171,"palmerpenguins"
"40",2020-09-09,234,"palmerpenguins"
"41",2020-09-10,282,"palmerpenguins"
"42",2020-09-11,197,"palmerpenguins"
"43",2020-09-12,102,"palmerpenguins"
"44",2020-09-13,153,"palmerpenguins"
"45",2020-09-14,204,"palmerpenguins"
"46",2020-09-15,749,"palmerpenguins"
"47",2020-09-16,418,"palmerpenguins"
"48",2020-09-17,374,"palmerpenguins"
"49",2020-09-18,308,"palmerpenguins"
"50",2020-09-19,251,"palmerpenguins"
"51",2020-09-20,207,"palmerpenguins"
"52",2020-09-21,267,"palmerpenguins"
"53",2020-09-22,423,"palmerpenguins"
"54",2020-09-23,794,"palmerpenguins"
"55",2020-09-24,369,"palmerpenguins"
"56",2020-09-25,422,"palmerpenguins"
"57",2020-09-26,214,"palmerpenguins"
"58",2020-09-27,331,"palmerpenguins"
"59",2020-09-28,375,"palmerpenguins"
"60",2020-09-29,324,"palmerpenguins"
"61",2020-09-30,358,"palmerpenguins"
"62",2020-10-01,325,"palmerpenguins"
"63",2020-10-02,304,"palmerpenguins"
"64",2020-10-03,205,"palmerpenguins"
"65",2020-10-04,327,"palmerpenguins"
